"species","ch"
"FOR","R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","U000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","U0000U00U000000000U0000U00000000U000000000000U00000000000000000000000000000000000000000000000000U0000000"
"SCA","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","I0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","U00000000000000000000000000000000000000000000000U0000000000000000000000000000000000000000000000000000000"
"PAR","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"MAG","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","R000000000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","R000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","R00R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","U0000000000000000000U00000U00000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","U0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","U000000000U000000000000000000U000000000U0000000000000000000000000000000000000000000000000000000000000U00"
"FOR","I0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","U000000000000U0000000000U000U000000000000000000000000000000000000000000000000000000000000000000000000000"
"MYI","U000000000000UU00000000000000000000000000000000000000000000000000000000U00000000000000U00000000000000000"
"FUL","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","0U0000000000000000000000000000000000000000000000000000000000000000000000000000000000U0000000000000000000"
"FOR","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0R000000000000000000000000000000000000000000000000000000000000000000000R00000000000000000000000000000000"
"CRA","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0I000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0U00000000000000000000000000000000000000000000000000000000000000000000000000000000000U000000000000000000"
"CRA","0I0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000U0000000"
"SCA","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0I000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0I000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0R00000000000000000000000000000000000000000000000000000000000000R000000000000000000000000000000000000000"
"CRA","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00U0000000000000000000000000000000000000000000000000000000U000000000000000000000000000000000000000000000"
"FOR","00R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00R00000000000000000000000000000000000R00000000000000000000000000000000000000000000000000000000000000000"
"FUL","00U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
