"species","ch"
"FOR","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","A000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","A0000A00A000000000A0000A00000000A000000000000A00000000000000000000000000000000000000000000000000A0000000"
"SCA","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","B0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A00000000000000000000000000000000000000000000000A0000000000000000000000000000000000000000000000000000000"
"PAR","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"MAG","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","A000000000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","A000A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","A00A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","A0000000000000000000A00000A00000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","A0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","A000000000A000000000000000000A000000000A0000000000000000000000000000000000000000000000000000000000000A00"
"FOR","B0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","A000000000000A0000000000A000A000000000000000000000000000000000000000000000000000000000000000000000000000"
"MYI","A000000000000AA00000000000000000000000000000000000000000000000000000000A00000000000000A00000000000000000"
"FUL","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"PAR","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
