Bander_ID,Species,Band,Sex,Plumage,Estado reproductivo,Beak_length,Beak_depth,Beak_width,Tarsus,Wing Chord,Mass,Pox_IUR,Pox_scale,Pox_size_lesion,Fecal,Narina,Slide,Swab,Blood,Plasma,BacDilution,PlasDilution,PlasDF,ulPlas,HoursInc,PercKilled,KilledperPlas,CFU,ControlCFU (Ave),Date,Age
AP,PAR,SMA2029,M,1,CP1,6.79,6.65,6.11,19.98,61,12.97,I,A,1.58,0,A,1,1,1,1,NA,A,40,1.04,15,-134.4410876,-129.2702766,1940,827.5,20240125,A
AP,PAR,SMA2029,M,1,CP1,6.79,6.65,6.11,19.98,61,12.97,I,A,1.58,0,A,1,1,1,1,NA,B,80,0.568,15,-54.9244713,-96.69801285,1282,827.5,20240125,A
IW,PAR,SMA2039,M,4,CP3,7.5,7.5,6.1,16.8,60,12.32,U,NA,NA,0,B,1,1,1,1,NA,A,40,1.04,15,90.45317221,86.97420404,79,827.5,20240125,A
IW,PAR,SMA2039,M,4,CP3,7.5,7.5,6.1,16.8,60,12.32,U,NA,NA,0,B,1,1,1,1,NA,B,80,0.568,15,-33.41389728,-58.82728395,1104,827.5,20240125,A
IW,FOR,SM2633,M,5,0,11.4,10.7,9.8,17.5,70,19.8,U,NA, NA,0,B,1,1,1,1,NA,A,40,1.04,15,97.70392749,93.94608413,19,827.5,20240125,A
IW,FOR,SM2633,M,5,0,11.4,10.7,9.8,17.5,70,19.8,U,NA, NA,0,B,1,1,1,1,NA,B,80,0.568,15,43.44410876,76.48610697,468,827.5,20240125,A
IW,CRA,SM2635,M,5,CP5,10.5,11,9.9,22.8,72,30.11,U,NA,NA,0,A,1,1,1,1,NA,A,40,1.04,15,10.93655589,10.51591913,737,827.5,20240125,A
IW,CRA,SM2635,M,5,CP5,10.5,11,9.9,22.8,72,30.11,U,NA,NA,0,A,1,1,1,1,NA,B,80,0.568,15,-43.44410876,-76.48610697,1187,827.5,20240125,A
AP,FUL,SMA2031,M,2,0,8.9,8,7.3,17.59,61,14.12,U,NA,NA,0,A,1,0,1,1,NA,A,40,1.04,15,68.82175227,66.17476179,258,827.5,20240125,A
AP,FUL,SMA2031,M,2,0,8.9,8,7.3,17.59,61,14.12,U,NA,NA,0,A,1,0,1,1,NA,B,80,0.568,15,61.32930514,107.9741288,320,827.5,20240125,A
AP,FUL,SMA2032,M,2,CP5,8.8,8.01,7.27,8.25,59,13.27,I,B,5.27,0,B,0,1,1,1,NA,A,40,1.04,15,62.29607251,59.90006972,312,827.5,20240125,A
AP,FUL,SMA2032,M,2,CP5,8.8,8.01,7.27,8.25,59,13.27,I,B,5.27,0,B,0,1,1,1,NA,B,80,0.568,15,32.56797583,57.33798562,558,827.5,20240125,A
AP,SCA,SM2632,U,0,0,12.66,8.06,8.05,21.57,68,20.75,U,NA,NA,0,A,1,0,1,1,NA,A,40,1.04,15,48.03625378,46.18870555,430,827.5,20240125,A
AP,SCA,SM2632,U,0,0,12.66,8.06,8.05,21.57,68,20.75,U,NA,NA,0,A,1,0,1,1,NA,B,80,0.568,15,64.71299094,113.9313221,292,827.5,20240125,A
AP,FUL,SMA2040,U,0,0,8.03,7.4,7.04,21.34,59,14.09,I,C,3.52,0,A,0,1,1,1,NA,A,40,1.04,15,-134.6827795,-129.5026726,1942,827.5,20240125,A
AP,FUL,SMA2040,U,0,0,8.03,7.4,7.04,21.34,59,14.09,I,C,3.52,0,A,0,1,1,1,NA,B,80,0.568,15,-28.4592145,-50.10425088,1063,827.5,20240125,A
AP,FUL,SMA1735,M,3,0,9.49,7.86,7.72,18.64,61,15.26,U,NA,NA,0,A,0,0,0,1,NA,A,40,1.04,15,81.3897281,78.25935394,154,827.5,20240125,A
AP,FUL,SMA1735,M,3,0,9.49,7.86,7.72,18.64,61,15.26,U,NA,NA,0,A,0,0,0,1,NA,B,80,0.568,15,-27.00906344,-47.55116804,1051,827.5,20240125,A
