Band,Species,Sex,Pox_IUR,Pox_scale,Lesion_size,Capture_date,Extraction_date,Strain
SM2256,FOR,M,U,NA,NA,1-Agu-23,27-Mar-24,mixed infection
SM2683,CRA,F,U,NA,NA,1-Feb-24,22-Apr-24,mixed infection
SMA2094,PAR,U,R,NA,NA,1-Feb-24,22-Apr-24,mixed infection
SM2066,CRA,F,U,NA,NA,6-Feb-24,22-Apr-24,mixed infection
SMC105,GAMO,N,U,NA,NA,30-Jan-24,22-Apr-24,mixed infection
SMA1541,PAR,U,U,NA,NA,10-Aug-23,22-Apr-24,mixed infection
SM2076,CRA,M,R,NA,NA,13-Jun-23,22-Apr-24,mixed infection
SM2178,FOR,M,R,NA,NA,5-Jul-23,23-Apr-24,mixed infection
SM2146,FOR,U,U,NA,NA,4-Jul-23,23-Apr-24,mixed infection
SMC107,GAMO,M,U,NA,NA,1-Feb-24,16-Apr-24,Ref 2
SMA2119,FUL,M,U,NA,NA,6-Feb-24,16-Apr-24,Ref 2
SMC020.2,GAMO,U,I,C,5.2,4-Apr-23,27-Mar-24,Ref 2
SMA1248.1,PAR,U,I,A,6.5,20-Apr-23,2-Apr-24,Ref 2
SMA952,PAR,M,I,A,1.6,16-Jun-23,27-Mar-24,Ref 2
SM2089,FOR,M,I,A,5.14,20-Jun-23,27-Mar-24,Ref 2
SMC054,GAMO,U,I,A,2.84,13-Jun-23,27-Mar-24,Ref 2
SMA2087,FUL,M,I,A,4.6,1-Feb-24,16-Apr-24,Ref 2
SMA1438,FUL,U,I,B,4.35,6-Jul-23,2-Apr-24,Ref 2
SMA1461,FUL,U,I,B,5.42,19-Jul-23,2-Apr-24,Ref 2
SM2210,FOR,U,I,B,2.53,19-Jul-23,2-Apr-24,Ref 2
SMA1283,PAR,U,I,A,3.78,7-Feb-23,2-Apr-24,Ref 2
SMC109,GAMO,U,U,NA,NA,1-Feb-24,22-Apr-24,Ref 2
SM2674,FOR,F,R,NA,NA,1-Feb-24,22-Apr-24,Ref 2
SMC116,GAMO,U,U,NA,NA,7-Feb-24,22-Apr-24,Ref 2
SM2759,SCA,U,U,NA,NA,26-Feb-24,22-Apr-24,Ref 2
SMA1540,PAR,U,U,NA,NA,10-Aug-23,22-Apr-24,Ref 2
SM1869,FOR,M,R,NA,NA,16-May-23,23-Apr-24,Ref 2
SMA1327,MYI,U,U,NA,NA,25-Apr-23,23-Apr-24,Ref 2
SMA1334,FUL,M,R,NA,NA,17-Mar-23,23-Apr-24,Ref 2
SM1802,FOR,U,R,NA,NA,10-Feb-23,23-Apr-24,Ref 2
SMC103,GAMO,M,U,NA,NA,29-Jan-24,25-Apr-24,Ref 2
SM2633,FOR,M,U,NA,NA,25-Jan-24,25-Apr-24,Ref 2
SMA1990,FUL,U,U,NA,NA,22-Jan-24,25-Apr-24,Ref 2
SM2660,FOR,U,U,NA,NA,29-Jan-24,25-Apr-24,Ref 2
SM2712,FOR,U,U,NA,NA,7-Feb-24,16-Apr-24,Ref 1
SMC056.1,GAMO,U,I,D,10.49,13-Jun-23,27-Mar-24,Ref 1
SMC073,SCA,U,I,D,8.19,4-Jul-23,27-Mar-24,Ref 1
SM2196,FOR,U,I,B,4.04,6-Jul-23,27-Mar-24,Ref 1
SM2263,FOR,M,I,A,4.1,1-Aug-23,27-Mar-24,Ref 1
SM1876,SCA,M,U,NA,NA,6-Feb-24,16-Apr-24,Ref 1
SMA2127,FUL,F,I,C,5.54,6-Feb-24,16-Apr-24,Ref 1
SM2769,FOR,M,I,A,3.55,29-Feb-24,16-Apr-24,Ref 1
SM2711,FOR,U,I,D,8.2,7-Feb-24,16-Apr-24,Ref 1
SMC026.2,GAMO,U,I,D,10.7,14-Apr-23,2-Apr-24,Ref 1
SMC048,GAMO,U,I,C,5.49,13-Feb-23,2-Apr-24,Ref 1
SMA2115,FUL,U,U,NA,NA,6-Feb-24,22-Apr-24,Ref 1
SMA2112,FUL,U,U,NA,NA,6-Feb-24,22-Apr-24,Ref 1
SMA1544,FUL,M,U,NA,NA,10-Aug-23,22-Apr-24,Ref 1
SM2099,FOR,M,U,NA,NA,21-Jun-23,23-Apr-24,Ref 1
SMC024,GAMO,U,R,NA,NA,13-Jun-23,23-Apr-24,Ref 1
SM2062,FOR,M,R,NA,NA,6-Jun-23,23-Apr-24,Ref 1
SMA1411,FUL,M,U,NA,NA,29-Jun-23,23-Apr-24,Ref 1
SMC077,GAMO,U,U,NA,NA,19-Jul-23,23-Apr-24,Ref 1
SM1941,MAG,M,R,NA,NA,13-Apr-23,23-Apr-24,Ref 1
SMC112,GAMO,N,U,NA,NA,2-Feb-24,23-Apr-24,Ref 1
SMA1586,FUL,M,U,NA,NA,5-Sep-23,23-Apr-24,Ref 1
SM2550,FOR,M,U,NA,NA,5-Jan-24,25-Apr-24,Ref 1
